,District,Thana,SubOffice,Post Code
,Chandpur,Shahrasti,Chotoshi,3623
,Chandpur,Shahrasti,Islamia Madrasha,3624
,Chandpur,Shahrasti,Khilabazar,3621
,Chandpur,Shahrasti,Pashchim Kherihar Al,3622
,Chandpur,Shahrasti,UNKILA,3620
,Chattogram,Anawara,Anowara,4376
,Chattogram,Anawara,Battali,4378
,Chattogram,Anawara,Paroikora,4377
,Chattogram,Boalkhali,Boalkhali,4366
,Chattogram,Boalkhali,Charandwip,4369
,Chattogram,Boalkhali,Iqbal Park,4365
,Chattogram,Boalkhali,Kadurkhal,4368
,Chattogram,Boalkhali,Kanungopara,4363
,Chattogram,Boalkhali,Sakpura,4367
,Chattogram,Boalkhali,Saroatoli,4364
,Chattogram,Chattogram Sadar,Al- Amin Baria Madra,4221
,Chattogram,Chattogram Sadar,Amin Jute Mills,4211
,Chattogram,Chattogram Sadar,Anandabazar,4215
,Chattogram,Chattogram Sadar,Bayezid Bostami,4210
,Chattogram,Chattogram Sadar,Chandgaon,4212
,Chattogram,Chattogram Sadar,Chawkbazar,4203
,Chattogram,Chattogram Sadar,Chitt. Cantonment,4220
,Chattogram,Chattogram Sadar,Chitt. Customs Acca,4219
,Chattogram,Chattogram Sadar,Chitt. Politechnic In,4209
,Chattogram,Chattogram Sadar,Chitt. Sailers Colon,4218
,Chattogram,Chattogram Sadar,Chattogram Airport,4205
,Chattogram,Chattogram Sadar,Chattogram Bandar,4100
,Chattogram,Chattogram Sadar,Chattogram GPO,4000
,Chattogram,Chattogram Sadar,Export Processing,4223
,Chattogram,Chattogram Sadar,Firozshah,4207
,Chattogram,Chattogram Sadar,Halishahar,4216
,Chattogram,Chattogram Sadar,Khulshi,4225
,Chattogram,Chattogram Sadar,Jalalabad,4214
,Chattogram,Chattogram Sadar,Jaldia Merine Accade,4206
,Chattogram,Chattogram Sadar,Middle Patenga,4222
,Chattogram,Chattogram Sadar,Mohard,4208
,Chattogram,Chattogram Sadar,North Halishahar,4226
,Chattogram,Chattogram Sadar,North Katuli,4217
,Chattogram,Chattogram Sadar,Pahartoli,4202
,Chattogram,Chattogram Sadar,Patenga,4204
,Chattogram,Chattogram Sadar,Rampur TSO,4224
,Chattogram,Chattogram Sadar,Wazedia,4213
,Chattogram,East Joara,Barma,4383
,Chattogram,East Joara,Dohazari,4382
,Chattogram,East Joara,East Joara,4380
,Chattogram,East Joara,Gachbaria,4381
,Chattogram,Fatikchhari,Bhandar Sharif,4352
,Chattogram,Fatikchhari,Fatikchhari,4350
,Chattogram,Fatikchhari,Harualchhari,4354
,Chattogram,Fatikchhari,Najirhat,4353
,Chattogram,Fatikchhari,Nanupur,4351
,Chattogram,Fatikchhari,Narayanhat,4355
,Chattogram,Hathazari,Chitt.University,4331
,Chattogram,Hathazari,Fatahabad,4335
,Chattogram,Hathazari,Gorduara,4332
,Chattogram,Hathazari,Hathazari,4330
,Chattogram,Hathazari,Katirhat,4333
,Chattogram,Hathazari,Madrasa,4339
,Chattogram,Hathazari,Mirzapur,4334
,Chattogram,Hathazari,Nuralibari,4337
,Chattogram,Hathazari,Yunus Nagar,4338
,Chattogram,Jaldi,Banigram,4393
,Chattogram,Jaldi,Gunagari,4392
,Chattogram,Jaldi,Jaldi,4390
,Chattogram,Jaldi,Khan Bahadur,4391
,Chattogram,Lohagara,Chunti,4398
,Chattogram,Lohagara,Lohagara,4396
,Chattogram,Lohagara,Padua,4397
,Chattogram,Mirsharai,Abutorab,4321
,Chattogram,Mirsharai,Azampur,4325
,Chattogram,Mirsharai,Bharawazhat,4323
,Chattogram,Mirsharai,Darrogahat,4322
,Chattogram,Mirsharai,Joarganj,4324
,Chattogram,Mirsharai,Korerhat,4327
,Chattogram,Mirsharai,Mirsharai,4320
,Chattogram,Mirsharai,Mohazanhat,4328
,Chattogram,Patiya,Budhpara,4371
,Chattogram,Patiya,Patiya Head Office,4370
,Chattogram,Rangunia,Dhamair,4361
,Chattogram,Rangunia,Rangunia,4360
,Chattogram,Raozan,B.I.T Post Office,4349
,Chattogram,Raozan,Beenajuri,4341
,Chattogram,Raozan,Dewanpur,4347
,Chattogram,Raozan,Fatepur,4345
,Chattogram,Raozan,Gahira,4343
,Chattogram,Rouzan,Guzra Noapara,4346
,Chattogram,Rouzan,jagannath Hat,4344
,Chattogram,Rouzan,Kundeshwari,4342
,Chattogram,Rouzan,Mohamuni,4348
,Chattogram,Rouzan,Rouzan,4340
,Chattogram,Sandwip,Sandwip,4300
,Chattogram,Sandwip,Shiberhat,4301
,Chattogram,Sandwip,Urirchar,4302
,Chattogram,Satkania,Baitul Ijjat,4387
,Chattogram,Satkania,Bazalia,4388
,Chattogram,Satkania,Satkania,4386
,Chattogram,Sitakunda,Barabkunda,4312
,Chattogram,Sitakunda,Baroidhala,4311
,Chattogram,Sitakunda,Bawashbaria,4313
,Chattogram,Sitakunda,Bhatiari,4315
,Chattogram,Sitakunda,Fouzdarhat,4316
,Chattogram,Sitakunda,Jafrabad,4317
,Chattogram,Sitakunda,Kumira,4314
,Chattogram,Sitakunda,Sitakunda,4310
,Cumilla,Barura,Barura,3560
,Cumilla,Barura,Murdafarganj,3562
,Cumilla,Barura,Poyalgachha,3561
,Cumilla,Brahmanpara,Brahmanpara,3526
,Cumilla,Burichang,Burichang,3520
,Cumilla,Burichang,Maynamoti bazar,3521
,Cumilla,Chandina,Chandia,3510
,Cumilla,Chandina,Madhaiabazar,3511
,Cumilla,Chandina,Mohichail,3510
,Cumilla,Chouddagram,Batisa,3551
,Cumilla,Chouddagram,Chiora,3552
,Cumilla,Chouddagram,Chouddagram,3550
,Cumilla,Comilla Sadar,Comilla Contoment,3501
,Cumilla,Comilla Sadar,Comilla Sadar,3500
,Cumilla,Comilla Sadar,Courtbari,3503
,Cumilla,Comilla Sadar,Halimanagar,3502
,Cumilla,Comilla Sadar,Suaganj,3504
,Cumilla,Daudkandi,Dashpara,3518
,Cumilla,Daudkandi,Daudkandi,3516
,Cumilla,Daudkandi,Eliotganj,3519
,Cumilla,Daudkandi,Gouripur,3517
,Cumilla,Davidhar,Barashalghar,3532
,Cumilla,Davidhar,Davidhar,3530
,Cumilla,Davidhar,Dhamtee,3533
,Cumilla,Davidhar,Gangamandal,3531
,Cumilla,Homna,Homna,3546
,Cumilla,Laksam,Bipulasar,3572
,Cumilla,Laksam,Laksam,3570
,Cumilla,Laksam,Lakshamanpur,3571
,Cumilla,Langalkot,Chhariabazar,3582
,Cumilla,Langalkot,Dhalua,3581
,Cumilla,Langalkot,Gunabati,3583
,Cumilla,Langalkot,Langalkot,3580
,Cumilla,Muradnagar,Bangra,3543
,Cumilla,Muradnagar,Companyganj,3542
,Cumilla,Muradnagar,Muradnagar,3540
,Cumilla,Muradnagar,Pantibazar,3545
,Cumilla,Muradnagar,Ramchandarpur,3541
,Cumilla,Muradnagar,Sonakanda,3544
,Cox's Bazar,Chiringga,Badarkali,4742
,Cox's Bazar,Chiringga,Chiringga,4740
,Cox's Bazar,Chiringga,Chiringga S.O,4741
,Cox's Bazar,Chiringga,Malumghat,4743
,Cox's Bazar,Coxs Bazar Sadar,Coxs Bazar Sadar,4700
,Cox's Bazar,Coxs Bazar Sadar,Eidga,4702
,Cox's Bazar,Coxs Bazar Sadar,Zhilanja,4701
,Cox's Bazar,Gorakghat,Gorakghat,4710
,Cox's Bazar,Kutubdia,Kutubdia,4720
,Cox's Bazar,Ramu,Ramu,4730
,Cox's Bazar,Teknaf,Hnila,4761
,Cox's Bazar,Teknaf,St.Martin,4762
,Cox's Bazar,Teknaf,Teknaf,4760
,Cox's Bazar,Ukhia,Ukhia,4750
,Feni,Chhagalnaia,Chhagalnaia,3910
,Feni,Chhagalnaia,Daraga Hat,3912
,Feni,Chhagalnaia,Maharajganj,3911
,Feni,Chhagalnaia,Puabashimulia,3913
,Feni,Dagonbhuia,Silonia,3922
,Feni,Dagonbhuia,Dagondhuia,3920
,Feni,Dagonbhuia,Dudmukha,3921
,Feni,Dagonbhuia,sindurpur,3923
,Feni,Feni Sadar,Fazilpur,3901
,Feni,Feni Sadar,Feni Sadar,3900
,Feni,Feni Sadar,Laskarhat,3903
,Feni,Feni Sadar,Sharshadie,3902
,Feni,Pashurampur,Fulgazi,3942
,Feni,Pashurampur,Munshirhat,3943
,Feni,Pashurampur,Pashurampur,3940
,Feni,Pashurampur,Shuarbazar,3941
,Feni,Sonagazi,Ahmadpur,3932
,Feni,Sonagazi,Kazirhat,3933
,Feni,Sonagazi,Motiganj,3931
,Feni,Sonagazi,Sonagazi,3930
,Feni,Sonagazi,Mangal Kandi,3937
,Khagrachari,Diginala,Diginala,4420
,Khagrachari,Khagrachari Sadar,Khagrachari Sadar,4400
,Khagrachari,Laxmichhari,Laxmichhari,4470
,Khagrachari,Mahalchhari,Mahalchhari,4430
,Khagrachari,Manikchhari,Manikchhari,4460
,Khagrachari,Matiranga,Matiranga,4450
,Khagrachari,Panchhari,Panchhari,4410
,Khagrachari,Ramghar Head Office,Ramghar Head Office,4440
,Lakshmipur,Char Alexgander,Char Alexgander,3730
,Lakshmipur,kamalnagar,Hazir Hat,3731
,Lakshmipur,Char Alexgander,Ramgatirhat,3732
,Lakshmipur,Lakshimpur Sadar,Amani Lakshimpur,3709
,Lakshmipur,Lakshimpur Sadar,Bhabaniganj,3702
,Lakshmipur,Lakshimpur Sadar,Chandraganj,3708
,Lakshmipur,Lakshimpur Sadar,Choupalli,3707
,Lakshmipur,Lakshimpur Sadar,Dalal Bazar,3701
,Lakshmipur,Lakshimpur Sadar,Duttapara,3706
,Lakshmipur,Lakshimpur Sadar,Keramatganj,3704
,Lakshmipur,Lakshimpur Sadar,Lakshimpur Sadar,3700
,Lakshmipur,Lakshimpur Sadar,Mandari,3703
,Lakshmipur,Lakshimpur Sadar,Rupchara,3705
,Lakshmipur,Ramganj,Alipur,3721
,Lakshmipur,Ramganj,Dolta,3725
,Lakshmipur,Ramganj,Kanchanpur,3723
,Lakshmipur,Ramganj,Naagmud,3724
,Lakshmipur,Ramganj,Panpara,3722
,Lakshmipur,Ramganj,Ramganj,3720
,Lakshmipur,Raypur,Bhuiyanbari,3714
,Lakshmipur,Raypur,Haydarganj,3713
,Lakshmipur,Raypur,Khaser Hat,3713
,Lakshmipur,Raypur,Nagerdighirpar,3712
,Lakshmipur,Raypur,Rakhallia,3711
,Lakshmipur,Raypur,Raypur,3710
,Noakhali,Basurhat,Basur Hat,3850
,Noakhali,Basurhat,Charhajari,3851
,Noakhali,Begumganj,Alaiarpur,3831
,Noakhali,Begumganj,Amisha Para,3847
,Noakhali,Begumganj,Banglabazar,3822
,Noakhali,Begumganj,Bazra,3824
,Noakhali,Begumganj,Begumganj,3820
,Noakhali,Begumganj,Bhabani Jibanpur,3837
,Noakhali,Begumganj,Choumohani,3821
,Noakhali,Begumganj,Dauti,3843
,Noakhali,Begumganj,Durgapur,3848
,Noakhali,Begumganj,Gopalpur,3828
,Noakhali,Begumganj,Jamidar Hat,3825
,Noakhali,Begumganj,Joyag,3844
,Noakhali,Begumganj,Joynarayanpur,3829
,Noakhali,Begumganj,Khalafat Bazar,3833
,Noakhali,Begumganj,Khalishpur,3842
,Noakhali,Begumganj,Maheshganj,3838
,Noakhali,Begumganj,Mir Owarishpur,3823
,Noakhali,Begumganj,Nadona,3839
,Noakhali,Begumganj,Nandiapara,3841
,Noakhali,Begumganj,Oachhekpur,3835
,Noakhali,Begumganj,Rajganj,3834
,Noakhali,Begumganj,Sonaimuri,3827
,Noakhali,Begumganj,Tangirpar,3832
,Noakhali,Begumganj,Thanar Hat,3845
,Noakhali,Chatkhil,Bansa Bazar,3879
,Noakhali,Chatkhil,Bodalcourt,3873
,Noakhali,Chatkhil,Chatkhil,3870
,Noakhali,Chatkhil,Dosh Gharia,3878
,Noakhali,Chatkhil,Karihati,3877
,Noakhali,Chatkhil,Khilpara,3872
,Noakhali,Chatkhil,Palla,3871
,Noakhali,Chatkhil,Rezzakpur,3874
,Noakhali,Chatkhil,Sahapur,3881
,Noakhali,Chatkhil,Sampara,3882
,Noakhali,Chatkhil,Shingbahura,3883
,Noakhali,Chatkhil,Solla,3875
,Noakhali,Hatiya,Afazia,3891
,Noakhali,Hatiya,Hatiya,3890
,Noakhali,Hatiya,Tamoraddi,3892
,Noakhali,Noakhali Sadar,Chaprashir Hat,3811
,Noakhali,Noakhali Sadar,Char Jabbar,3812
,Noakhali,Noakhali Sadar,Charam Tua,3809
,Noakhali,Noakhali Sadar,Din Monir Hat,3803
,Noakhali,Noakhali Sadar,Kabirhat,3807
,Noakhali,Noakhali Sadar,Khalifar Hat,3808
,Noakhali,Noakhali Sadar,Mriddarhat,3806
,Noakhali,Noakhali Sadar,Noakhali College,3801
,Noakhali,Noakhali Sadar,Noakhali Sadar,3800
,Noakhali,Noakhali Sadar,Pak Kishoreganj,3804
,Noakhali,Noakhali Sadar,Sonapur,3802
,Noakhali,Senbag,Beezbag,3862
,Noakhali,Senbag,Chatarpaia,3864
,Noakhali,Senbag,Kallyandi,3861
,Noakhali,Senbag,Kankirhat,3863
,Noakhali,Senbag,Senbag,3860
,Noakhali,Senbag,T.P. Lamua,3865
,Rangamati,Barakal,Barakal,4570
,Rangamati,Bilaichhari,Bilaichhari,4550
,Rangamati,Jarachhari,Jarachhari,4560
,Rangamati,Kalampati,Betbunia,4511
,Rangamati,Kalampati,Kalampati,4510
,Rangamati,kaptai,Chandraghona,4531
,Rangamati,kaptai,Kaptai,4530
,Rangamati,kaptai,Kaptai Nuton Bazar,4533
,Rangamati,kaptai,Kaptai Project,4532
,Rangamati,Longachh,Longachh,4580
,Rangamati,Marishya,Marishya,4590
,Rangamati,Naniachhar,Nanichhar,4520
,Rangamati,Rajsthali,Rajsthali,4540
,Rangamati,Rangamati Sadar,Rangamati Sadar,4500
,Dinajpur,Bangla Hili,Bangla Hili,5270
,Dinajpur,Biral,Biral,5210
,Dinajpur,Mohakhali,Birampur,5266
,Dinajpur,Birganj,Birganj,5220
,Dinajpur,Chirirbandar,Chirirbandar,5240
,Dinajpur,Chirirbandar,Ranirbandar,5241
,Dinajpur,Dinajpur Sadar,Dinajpur Rajbari,5201
,Dinajpur,Dinajpur Sadar,Dinajpur Sadar,5200
,Dinajpur,Khansama,Khansama,5230
,Dinajpur,Khansama,Pakarhat,5231
,Dinajpur,Maharajganj,Maharajganj,5226
,Dinajpur,Nawabganj,Daudpur,5281
,Dinajpur,Nawabganj,Gopalpur,5282
,Dinajpur,Nawabganj,Nawabganj,5280
,Dinajpur,Ghoraghat,Ghoraghat,5291
,Dinajpur,Ghoraghat,Osmanpur,5290
,Dinajpur,Parbatipur,Parbatipur,5250
,Dinajpur,Phulbari,Phulbari,5260
,Dinajpur,Setabganj,Setabganj,5216
,Gaibandha,Bonarpara,Bonarpara,5750
,Gaibandha,Bonarpara,saghata,5751
,Gaibandha,Gaibandha Sadar,Gaibandha Sadar,5700
,Gaibandha,Gobindaganj,Gobindhaganj,5740
,Gaibandha,Gobindaganj,Mahimaganj,5741
,Gaibandha,Palashbari,Palashbari,5730
,Gaibandha,Phulchhari,Bharatkhali,5761
,Gaibandha,Phulchhari,Phulchhari,5760
,Gaibandha,Saadullapur,Naldanga,5711
,Gaibandha,Saadullapur,Saadullapur,5710
,Gaibandha,Sundarganj,Bamandanga,5721
,Gaibandha,Sundarganj,Sundarganj,5720
,Kurigram,Bhurungamari,Bhurungamari,5670
,Kurigram,Chilmari,Chilmari,5630
,Kurigram,Chilmari,Jorgachh,5631
,Kurigram,Kurigram Sadar,Kurigram Sadar,5600
,Kurigram,Kurigram Sadar,Pandul,5601
,Kurigram,Kurigram Sadar,Phulbari,5680
,Kurigram,Nageshwar,Nageshwar,5660
,Kurigram,Rajarhat,Nazimkhan,5611
,Kurigram,Rajarhat,Rajarhat,5610
,Kurigram,Rajibpur,Rajibpur,5650
,Kurigram,Roumari,Roumari,5640
,Kurigram,Ulipur,Bozra hat,5621
,Kurigram,Ulipur,Ulipur,5620
,Lalmonirhat,Aditmari,Aditmari,5510
,Lalmonirhat,Hatibandha,Hatibandha,5530
,Lalmonirhat,Lalmonirhat Sadar,Kulaghat SO,5502
,Lalmonirhat,Lalmonirhat Sadar,Lalmonirhat Sadar,5500
,Lalmonirhat,Lalmonirhat Sadar,Moghalhat,5501
,Lalmonirhat,Patgram,Baura,5541
,Lalmonirhat,Patgram,Burimari,5542
,Lalmonirhat,Patgram,Patgram,5540
,Lalmonirhat,Tushbhandar,Tushbhandar,5520
,Nilphamari,Dimla,Dimla,5350
,Nilphamari,Dimla,Ghaga Kharibari,5351
,Nilphamari,Domar,Chilahati,5341
,Nilphamari,Domar,Domar,5340
,Nilphamari,Jaldhaka,Jaldhaka,5330
,Nilphamari,Kishoriganj,Kishoriganj,5320
,Nilphamari,Nilphamari Sadar,Nilphamari Sadar,5300
,Nilphamari,Nilphamari Sadar,Nilphamari Sugar Mil,5301
,Nilphamari,Saidpur,Saidpur,5310
,Nilphamari,Saidpur,Saidpur Upashahar,5311
,Panchagarh,Boda,Boda,5010
,Panchagarh,Chotto Dab,Chotto Dab,4050
,Panchagarh,Chotto Dab,Mirjapur,5041
,Panchagarh,Dabiganj,Dabiganj,5020
,Panchagarh,Panchagra Sadar,Panchagar Sadar,5000
,Panchagarh,Tetulia,Tetulia,5030
,Rangpur,Taraganj,Taraganj,5420
,Rangpur,Badarganj,Shyampur,5431
,Rangpur,Gangachara,Gangachara,5410
,Rangpur,Kaunia,Haragachh,5441
,Rangpur,Kaunia,Kaunia,5440
,Rangpur,Pirgachha,Pirgachha,5450
,Rangpur,Mithapukur,Mithapukur,5460
,Rangpur,Pirgonj,Gujjipara,5470
,Rangpur,Rangpur Sadar,Alamnagar,5402
,Rangpur,Rangpur Sadar,Mahiganj,5403
,Rangpur,Rangpur Sadar,Rangpur Cadet Colleg,5404
,Rangpur,Rangpur Sadar,Rangpur Carmiecal Col,5405
,Rangpur,Rangpur Sadar,Rangpur Sadar,5400
,Rangpur,Rangpur Sadar,Rangpur Upa-Shahar,5401
,Rangpur,Badarganj,Badarganj,5430
,Thakurgaon,Baliadangi,Baliadangi,5140
,Thakurgaon,Baliadangi,Lahiri,5141
,Thakurgaon,Jibanpur,Jibanpur,5130
,Thakurgaon,Pirganj,Pirganj,5110
,Rangpur,Pirganj,Pirganj,5470
,Thakurgaon,Rani Sankail,Nekmarad,5121
,Thakurgaon,Rani Sankail,Rani Sankail,5120
,Thakurgaon,Thakurgaon Sadar,Ruhia,5103
,Thakurgaon,Thakurgaon Sadar,Shibganj,5102
,Thakurgaon,Thakurgaon Sadar,Thakurgaon Road,5101
,Thakurgaon,Thakurgaon Sadar,Thakurgaon Sadar,5100
,Bogura,Adamdighi,Adamdighi,5890
,Bogura,Adamdighi,Nasharatpur,5892
,Bogura,Adamdighi,Santahar,5891
,Bogura,Bogura Sadar,Bogura Canttonment,5801
,Bogura,Bogura Sadar,Bogura Sadar,5800
,Bogura,Dhunat,Dhunat,5850
,Bogura,Dhunat,Gosaibari,5851
,Bogura,Dupchanchia,Dupchanchia,5880
,Bogura,Dupchachia,Talora,5881
,Bogura,Gabtoli,-,5820
,Bogura,Gabtoli,Sukhanpukur,5821
,Bogura,Kahalu,Kahalu,5870
,Bogura,Nandigram,Nandigram,5860
,Bogura,Sariakandi,Chandan Baisha,5831
,Bogura,Sariakandi,Sariakandi,5830
,Bogura,Sherpur,Chandaikona,5841
,Bogura,Sherpur,Palli Unnyan Accadem,5842
,Bogura,Sherpur,Sherpur,5840
,Bogura,Shibganj,Shibganj,5810
,Bogura,Sonatola,Sonatola,5826
,Chapai Nawabganj,Bholahat,Bholahat,6330
,Chapai Nawabganj,Chapai Nawabganj Sadar,Amnura,6303
,Chapai Nawabganj,Chapai Nawabganj Sadar,Chapai Nawabganj Sadar,6300
,Chapai Nawabganj,Chapai Nawabganj Sadar,Rajarampur,6301
,Chapai Nawabganj,Chapai Nawabganj Sadar,Ramchandrapur,6302
,Chapai Nawabganj,Nachol,Mandumala,6311
,Chapai Nawabganj,Nachol,Nachol,6310
,Chapai Nawabganj,Rohanpur,Gomashtapur,6321
,Chapai Nawabganj,Rohanpur,Rohanpur,6320
,Chapai Nawabganj,Shibganj U.P.O,Kansart,6341
,Chapai Nawabganj,Shibganj U.P.O,Manaksha,6342
,Chapai Nawabganj,Shibganj U.P.O,Shibganj U.P.O,6340
,Joypurhat,Akkelpur,Akklepur,5940
,Joypurhat,Akkelpur,jamalganj,5941
,Joypurhat,Akkelpur,Tilakpur,5942
,Joypurhat,Joypurhat Sadar,Joypurhat Sadar,5900
,Joypurhat,kalai,kalai,5930
,Joypurhat,Khetlal,Khetlal,5920
,Joypurhat,panchbibi,Panchbibi,5910
,Naogaon,Ahsanganj,Ahsanganj,6596
,Naogaon,Ahsanganj,Bandai,6597
,Naogaon,Badalgachhi,Badalgachhi,6570
,Naogaon,Dhamuirhat,Dhamuirhat,6580
,Naogaon,Mahadebpur,Mahadebpur,6530
,Naogaon,Naogaon Sadar,Naogaon Sadar,6500
,Naogaon,Niamatpur,Niamatpur,6520
,Naogaon,Nitpur,Nitpur,6550
,Naogaon,Nitpur,Panguria,6552
,Naogaon,Nitpur,Porsa,6551
,Naogaon,Patnitala,Patnitala,6540
,Naogaon,Prasadpur,Balihar,6512
,Naogaon,Prasadpur,Manda,6511
,Naogaon,Prasadpur,Prasadpur,6510
,Naogaon,Raninagar,Kashimpur,6591
,Naogaon,Raninagar,Raninagar,6590
,Naogaon,Sapahar,Moduhil,6561
,Naogaon,Sapahar,Sapahar,6560
,Natore,Gopalpur UPO,Abdulpur,6422
,Natore,Gopalpur UPO,Gopalpur U.P.O,6420
,Natore,Gopalpur UPO,Lalpur S.O,6421
,Natore,Harua,Baraigram,6432
,Natore,Harua,Dayarampur,6431
,Natore,Harua,Harua,6430
,Natore,Hatgurudaspur,Hatgurudaspur,6440
,Natore,Laxman,Laxman,6410
,Natore,Natore Sadar,Baiddyabal Gharia,6402
,Natore,Natore Sadar,Digapatia,6401
,Natore,Natore Sadar,Madhnagar,6403
,Natore,Natore Sadar,Natore Sadar,6400
,Natore,Singra,Singra,6450
,Pabna,Banwarinagar,Banwarinagar,6650
,Pabna,Bera,Bera,6680
,Pabna,Bera,Kashinathpur,6682
,Pabna,Bera,Nakalia,6681
,Pabna,Bera,Puran Bharenga,6683
,Pabna,Bhangura,Bhangura,6640
,Pabna,Chatmohar,Chatmohar,6630
,Pabna,Atghoria,Atghoria,6610
,Pabna,Ishwardi,Dhapari,6621
,Pabna,Ishwardi,Ishwardi,6620
,Pabna,Ishwardi,Pakshi,6622
,Pabna,Ishwardi,Rajapur,6623
,Pabna,Pabna Sadar,Hamayetpur,6602
,Pabna,Pabna Sadar,Kaliko Cotton Mills,6601
,Pabna,Pabna Sadar,Pabna Sadar,6600
,Pabna,Sathia,Sathia,6670
,Pabna,Sujanagar,Sagarkandi,6661
,Pabna,Sujanagar,Sujanagar,6660
,Rajshahi,Bagha,Arani,6281
,Rajshahi,Bagha,Bagha,6280
,Rajshahi,Bagmara,Bhabaniganj,6250
,Rajshahi,Bagmara,Taharpur,6251
,Rajshahi,Charghat,Charghat,6270
,Rajshahi,Charghat,Sarda,6271
,Rajshahi,Durgapur,Durgapur,6240
,Rajshahi,Godagari,Godagari,6290
,Rajshahi,Godagari,Premtoli,6291
,Rajshahi,Khod Mohanpur,Khodmohanpur,6220
,Rajshahi,Lalitganj,Lalitganj,6210
,Rajshahi,Lalitganj,Rajshahi Sugar Mills,6211
,Rajshahi,Lalitganj,Shyampur,6212
,Rajshahi,Putia,Putia,6260
,Rajshahi,Rajshahi Sadar,Binodpur Bazar,6206
,Rajshahi,Rajshahi Sadar,Ghuramara,6100
,Rajshahi,Rajshahi Sadar,Kazla,6204
,Rajshahi,Rajshahi Sadar,Rajshahi Canttonment,6202
,Rajshahi,Rajshahi Sadar,Rajshahi Court,6201
,Rajshahi,Rajshahi Sadar,Rajshahi Sadar,6000
,Rajshahi,Rajshahi Sadar,Rajshahi University,6205
,Rajshahi,Rajshahi Sadar,Sapura,6203
,Rajshahi,Tanor,Tanor,6230
,Sirajganj,Baiddya Jam Toil,Baiddya Jam Toil,6730
,Sirajganj,Belkuchi,Belkuchi,6740
,Sirajganj,Belkuchi,Enayetpur,6751
,Sirajganj,Belkuchi,Rajapur,6742
,Sirajganj,Belkuchi,Sohagpur,6741
,Sirajganj,Belkuchi,Sthal,6752
,Sirajganj,Dhangora,Dhangora,6720
,Sirajganj,Dhangora,Malonga,6721
,Sirajganj,Kazipur,Gandail,6712
,Sirajganj,Kazipur,Kazipur,6710
,Sirajganj,Kazipur,Shuvgachha,6711
,Sirajganj,Shahjadpur,Jamirta,6772
,Sirajganj,Shahjadpur,Kaijuri,6773
,Sirajganj,Shahjadpur,Porjana,6771
,Sirajganj,Shahjadpur,Shahjadpur,6770
,Sirajganj,Sirajganj Sadar,Raipur,6701
,Sirajganj,Sirajganj Sadar,Rashidabad,6702
,Sirajganj,Sirajganj Sadar,Sirajganj Sadar,6700
,Sirajganj,Tarash,Tarash,6780
,Sirajganj,Ullapara,Lahiri Mohanpur,6762
,Sirajganj,Ullapara,Salap,6763
,Sirajganj,Ullapara,Ullapara,6760
,Sirajganj,Ullapara,Ullapara R.S,6761
,Sirajganj,Kamarkhanda,Rasulpur,6730
,Barguna,Amtali,Amtali,8710
,Barguna,Bamna,Bamna,8730
,Barguna,Barguna Sadar,Barguna Sadar,8700
,Barguna,Barguna Sadar,Nali Bandar,8701
,Barguna,Betagi,Betagi,8740
,Barguna,Betagi,Darul Ulam,8741
,Barguna,Patharghata,Kakchira,8721
,Barguna,Patharghata,Patharghata,8720
,Barishal,Agailzhara,Agailzhara,8240
,Barishal,Agailzhara,Gaila,8241
,Barishal,Agailzhara,Paisarhat,8242
,Barishal,Banaripara,Banaripara,8530
,Barishal,Banaripara,Chakhar,8531
,Barishal,Babuganj,Babuganj,8210
,Barishal,Babuganj,Barishal Cadet,8216
,Barishal,Babuganj,Chandpasha,8212
,Barishal,Babuganj,Madhabpasha,8213
,Barishal,Babuganj,Nizamuddin College,8215
,Barishal,Babuganj,Rahamatpur,8211
,Barishal,Babuganj,Thakur Mallik,8214
,Barishal,Barajalia,Barajalia,8260
,Barishal,Barajalia,Osman Manjil,8261
,Barishal,Barishal Sadar,Barishal Sadar,8200
,Barishal,Barishal Sadar,Chandramohon,8200
,Barishal,Barishal Sadar,Bukhainagar,8201
,Barishal,Barishal Sadar,Jaguarhat,8206
,Barishal,Barishal Sadar,Kashipur,8205
,Barishal,Barishal Sadar,Patang,8204
,Barishal,Barishal Sadar,Saheberhat,8202
,Barishal,Barishal Sadar,Sugandia,8203
,Barishal,Gouranadi,Batajor,8233
,Barishal,Gouranadi,Gouranadi,8230
,Barishal,Gouranadi,Kashemabad,8232
,Barishal,Gouranadi,Tarki Bandar,8231
,Barishal,Mahendiganj,Langutia,8274
,Barishal,Mahendiganj,Laskarpur,8271
,Barishal,Mahendiganj,Mahendiganj,8270
,Barishal,Mahendiganj,Nalgora,8273
,Barishal,Mahendiganj,Ulania,8272
,Barishal,Muladi,Charkalekhan,8252
,Barishal,Muladi,Kazirchar,8251
,Barishal,Muladi,Muladi,8250
,Barishal,Bakerganj,Charamandi,8281
,Barishal,Bakerganj,kalaskati,8284
,Barishal,Bakerganj,Padri Shibpur,8282
,Barishal,Bakerganj,Luxmibardhan,8280
,Barishal,Bakerganj,Shialguni,8283
,Barishal,Uzirpur,Dakuarhat,8223
,Barishal,Uzirpur,Dhamura,8221
,Barishal,Uzirpur,Jugirkanda,8222
,Barishal,Uzirpur,Shikarpur,8224
,Barishal,Uzirpur,Uzirpur,8220
,Bhola,Bhola Sadar,Bhola Sadar,8300
