-1,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
1408,Nabila General Hospital,22.9493695,91.1231861,3.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']","College Road, Chowmuhani",ChIJaaOdqzGiVDcRmfy5mcl9Pi0,"W4XF+P7 Chowmuhani, Bangladesh",7MJHW4XF+P7
1409,Laksam Adhunik Hospital (Pvt) Ltd,23.2466197,91.1219743,3.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","19 M142, Laksam",ChIJO9J47WWEVDcRh5_Ns-Wr-Ts,,
1410,Laksam Modern Hospital (Pvt),23.2469405,91.1219719,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Shopner Shirhi, Stadium Road, Laksam",ChIJ0W-BTQuFVDcR0PHxuf3WkSo,,
1411,Akshina Community Clinic Center,23.7395541,91.1217649,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","কসবা উপজেলা, Aksina Mullapara",ChIJC88iWrdzVDcRkIRYjvvLuUI,"P4QC+RP Kasba, Bangladesh",7MMHP4QC+RP
1412,Dhaki Union Health and Family Welfare Center,24.4484973,91.1215787,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Charigram bajar, মিঠামইন",ChIJb_E5x_S3VjcRo4Jf6-OFUjc,"C4XC+9J Atpasa, Bangladesh",7MPHC4XC+9J
1413,Aksina Community centre,23.7401836,91.1215711,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJgXfLuSJzVDcRyjiWHDpC_DY,"P4RC+3J Kasba, Bangladesh",7MMHP4RC+3J
1414,Diganta Diagnostic & Hospital,23.2571417,91.1215711,1.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksham,ChIJXc9skGyEVDcRf7dCYhu9v9s,,
1415,Daki Union Heath Complex,24.4485218,91.1214534,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Mithamain Upazila,ChIJM0OLHNC3VjcRLTG1sQLyBag,"C4XC+CH Atpasa, Bangladesh",7MPHC4XC+CH
1416,Akshina Bazar Community Clinic,23.7403257,91.12145,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Aksina, Kasba",ChIJ5Rim5SxzVDcR-2FyzCB6zyc,"P4RC+4H Kasba, Bangladesh",7MMHP4RC+4H
1417,Laksam Lifecare Hospital (Pvt) Ltd.,23.2448524,91.1211746,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam Upazila,ChIJyW6xQZiFVDcRcjY7MzlRFoY,,
1418,Chandupur Community Clinic,23.332828,91.1211466,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Keshonpar,ChIJL4070IiHVDcRQ82mJTYt64Y,,
1419,Lit Healthcare,23.2436912,91.1206725,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Noyakhali, Railgate, মাইজদী",ChIJW1E7cEaFVDcRimbgV0sOssQ,,
1420,General O Shishu Hospital (Pvt),22.9437343,91.1203728,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chowmuhani,ChIJ-RZLZzGjVDcRJJE8_ViYw78,"W4VC+F4 Chowmuhani, Bangladesh",7MJHW4VC+F4
1421,General And Shishu Hospital (Pvt),22.9462844,91.1200683,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Lane no 1, Chowmuhani",ChIJaa2AvHajVDcR7eKUYkAb47M,"W4WC+G2 Chowmuhani, Bangladesh",7MJHW4WC+G2
1422,Aamena Medical Hospital,23.2416653,91.1199725,4.1,10,"['hospital', 'health', 'point_of_interest', 'establishment']","Exit Road, Laksam",ChIJIfFvtGaEVDcRftdMeJgNAoo,,
1423,Islamia Private Hospital,22.9440491,91.1199567,4.3,4,"['hospital', 'health', 'point_of_interest', 'establishment']","Post Office Road, Chowmohani",ChIJhYGu5sujVDcR3UXvIR-qcpo,"W4V9+JX Chowmuhani, Bangladesh",7MJHW4V9+JX
1424,Mamtamayi Hospital,23.2418402,91.1194166,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","২নম্বর, রোড, দৌলতগঞ্জ, Laksam",ChIJfxFry32FVDcRiOwlqTG_gVo,,
1425,Momotamoye Hospital Private Limited,23.2420078,91.1194105,4.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Exit Road, Laksam",ChIJKTsrz2aEVDcRDPwMzuo31WY,,
1426,Kolapara Community health center,24.2788682,91.1192836,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Astagram,ChIJAcO8wi2vVjcRFO9plyKXcqo,"74H9+GP Astagram, Bangladesh",7MPH74H9+GP
1427,Sarail Upozila Health Complex,24.0713583,91.118316,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sarail,ChIJl7Jw1hcDVDcRh4Q1uGCuy4M,"34C9+G8 Sarail, Bangladesh",7MPH34C9+G8
1428,Sarail Upazila Health Complex,24.0713662,91.1182569,4.4,23,"['hospital', 'health', 'point_of_interest', 'establishment']","R220, Sarail",ChIJP2YIVMADVDcR9jkVOb9hd-c,"34C9+G8 Sarail, Bangladesh",7MPH34C9+G8
1429,Purnamati Community Clinic,23.5823368,91.1179293,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",ওয়ার্ড নং ৪,ChIJ-bOqlRZxVDcRJucBeJzQ-Tw,,
1430,Monowara hospital,24.0728706,91.1178705,3.4,5,"['hospital', 'health', 'point_of_interest', 'establishment']","R220, Sarail",ChIJYU1t6MADVDcRZRzQgHdAlA4,"34F9+44 Sarail, Bangladesh",7MPH34F9+44
1431,Hospital Stuff Quarter,24.0709361,91.1176158,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Sarail Upazila,ChIJZ2SppV8DVDcR6R4yBAa6LaM,"34C9+92 Sarail, Bangladesh",7MPH34C9+92
1432,Digital General Hospital,24.0708976,91.1167733,4.6,5,"['hospital', 'health', 'point_of_interest', 'establishment']","R220, Sarail",ChIJJ9c6ZcADVDcRNroAk1IJG8I,"34C8+9P Sarail, Bangladesh",7MPH34C8+9P
1433,Confidence Dental Care,24.0704882,91.1166737,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Sarail,ChIJdwDOy98DVDcR4lfw7mu2IEM,"34C8+5M Sarail, Bangladesh",7MPH34C8+5M
1434,Amena medical centre,23.2116858,91.1161166,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Laksam Upazila,ChIJr1vVbYmFVDcR0C8tIQ-yxFM,"6468+MC Thengarpar, Bangladesh",7MMH6468+MC
1435,Health Care Diagnostic Center,22.9455484,91.1155604,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Ali Bhaban(2nd floor),Delta Gate,Karimpur Road, চৌমুহনী",ChIJXSMIjrWjVDcRoWYmKqqXTQo,"W4W8+66 Chowmuhani, Bangladesh",7MJHW4W8+66
1436,Comfort Hospital & Diagonistic Center,23.9577795,91.1154788,4.7,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Kawtoli, Brahmanbaria",ChIJm_QdMYgFVDcRqHtQdunD6PU,"X458+45 Brahmanbaria, Bangladesh",7MMHX458+45
1437,Mohammad Shahid Ullah Bhuiyan Medical Center,23.1133609,91.1153447,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Natherpetua,ChIJbw47TOCbVDcRVyWJJjyLyXU,,
1438,Health Care Diagnostic Center,22.9452827,91.115211,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Begumganj Upazila, আলী ভবন (২য় তলা), করিমপুর রোড, ডেল্টা গেইট, চৌমুহনী, নোয়াখালী। ফোনঃ 01832-260998; 01757",ChIJF27FSwqjVDcRQaC7KBQl-ZY,"W4W8+43 Chowmuhani, Bangladesh",7MJHW4W8+43
1439,Jagatpur Community Clinic,23.5655375,91.1146577,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Burichang Upazila,ChIJJ-IHk817VDcRardw9YYt-Q4,,
1440,Hasuk Hospital,24.2461223,91.1146194,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Bangalpara,ChIJiSz-bciuVjcR2tUSgM--LjY,"64W7+CR Bangalpara, Bangladesh",7MPH64W7+CR
1441,Chowmuhoni Mother & Child Hospital,22.945259,91.114595,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Chowmuhani Paschim Bazaar Bus Stop, N104, চৌমুহনী",ChIJEQiwICOjVDcRmLDulCtWVzU,"W4W7+4R Chowmuhani, Bangladesh",7MJHW4W7+4R
1442,Alif Medical Hall,23.9626762,91.1145614,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']","DC SP Road, Brahmanbaria",ChIJQcYx4LMFVDcRONStmLLofR0,"X477+3R Brahmanbaria, Bangladesh",7MMHX477+3R
1443,Nandanpur Satellite Clinic,24.0348385,91.1144812,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Nandanpur Bus Stop, Nondonpur, ব্রাহ্মণবাড়ীয়া",ChIJCd18UuMFVDcRacfvACB8ixg,"24M7+WQ Brahmanbaria, Bangladesh",7MPH24M7+WQ
1444,Bhabak Para Community Clinic,23.3091274,91.11403,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJKzYVvEaHVDcRnPezMtGJB90,,
1445,Bengal Bay Medical Hospital,22.9466755,91.1137191,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chowmuhani,ChIJjVPFUX-jVDcRDclF1cyf5YM,"W4W7+MF Chowmuhani, Bangladesh",7MJHW4W7+MF
1446,Dream Hospital,22.9466755,91.1137191,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chowmuhani,ChIJ10PU9_CjVDcRvR33vzbZHKM,"W4W7+MF Chowmuhani, Bangladesh",7MJHW4W7+MF
1447,Health Care Diagnostic Center,22.9466755,91.1137191,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","ডেল্টা গেইট,চৌমুহনী।, আলী ভবন",ChIJ-xc7zHujVDcR7tr1fNCRLpY,"W4W7+MF Chowmuhani, Bangladesh",7MJHW4W7+MF
1448,Al Falah Hospital,23.9584178,91.1135775,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Kawtoli, Brahmanbaria",ChIJjyEdVYwFVDcR45SBJ3VCnyY,"X457+9C Brahmanbaria, Bangladesh",7MMHX457+9C
1449,Adhunik Shishu Hospital Pvt.,22.944815,91.11351,4.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Korimpur Madrasa Rd, Chowmuhani, Korimpur Madrasa Road, চৌমুহনী",ChIJrwmKM7SjVDcRXtLKtypOar4,"W4V7+WC Chowmuhani, Bangladesh",7MJHW4V7+WC
1450,Christian Mission Hospital,23.9637096,91.1128717,4.1,10,"['hospital', 'health', 'point_of_interest', 'establishment']","Kawtoli, Brahmanbaria",ChIJ4xXuRZIFVDcRHW9oUgUKS9Q,"X477+F4 Brahmanbaria, Bangladesh",7MMHX477+F4
1451,Haor Medical Center,24.2757258,91.112522,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Astagram,ChIJjSh6oYevVjcRgB_PModtP94,"74G7+72 Astagram, Bangladesh",7MPH74G7+72
1452,Holy Crescent General Hospital,23.9743313,91.1124774,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Kawtoli Jame Masjid Road, Brahmanbaria",ChIJSUTg7K0FVDcRk-7YvGUcWj0,"X4F6+PX Brahmanbaria, Bangladesh",7MMHX4F6+PX
1453,Model General Hospital,23.9658095,91.1123724,4.2,9,"['hospital', 'health', 'point_of_interest', 'establishment']","N103, Brahmanbaria",ChIJ9Xr4wJMFVDcRRM4_F1vs_K8,"X486+8W Brahmanbaria, Bangladesh",7MMHX486+8W
1454,The United Hospital & Diagnostic Center,23.9675393,91.1119148,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",চট্টগ্রাম,ChIJI-PpDsAFVDcRpmEoSP-1Itc,"X496+2Q Brahmanbaria, Bangladesh",7MMHX496+2Q
1455,Toha dental point,23.969567,91.1116097,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJC6YtuMkFVDcRsYv_7zeYsrQ,"X496+RJ Brahmanbaria, Bangladesh",7MMHX496+RJ
1456,Astha Hospital & Diagnostic Center,23.9725862,91.111506,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","T A Road, Brahmanbaria",ChIJBSbq5JUFVDcRVH-kXlCo1p4,"X4F6+2J Brahmanbaria, Bangladesh",7MMHX4F6+2J
1457,Comfort Physiotherapy & General Hospital,23.9608181,91.1115014,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Brahmanbaria,ChIJAy_S_I0FVDcRSG9eIW6B43Q,"X466+8J Brahmanbaria, Bangladesh",7MMHX466+8J
1459,Sonaimuri Healthcare Center,23.0509273,91.1113216,4,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Sonaimuri,ChIJ_____xuZVDcRayNmy7gmiBg,,
1461,Sun Diagnostic Centre,23.0509273,91.1113216,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bypass More, Sonaimuri",ChIJa4pws7uZVDcR0aRrFTsUewE,,
1462,United Hospital and Diagnostic Center,23.9732914,91.1112724,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Fakirapool, Brahmanbaria",ChIJwdDMAiIFVDcRSEdvkdtf96c,"X4F6+8G Brahmanbaria, Bangladesh",7MMHX4F6+8G
1463,Begumganj Ten Bed Hospital,22.9437726,91.1107514,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Hospital Road, Chowmuhani",ChIJMbJP_bOjVDcRh4jQaRMSbLU,"W4V6+G8 Chowmuhani, Bangladesh",7MJHW4V6+G8
1464,Baduir Union Health & Family Care Center,23.8047278,91.1102293,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJMa1ebg8NVDcRZM8WidjLWw4,"R436+V3 Manderpur, Bangladesh",7MMHR436+V3
1465,Brahmanbaria Medical College Hospital,24.0019699,91.1098982,4.5,56,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla-Sylhet Highway, Ghatura, Brahmanbaria.Sadar, Brahmanbaria dist",ChIJrYuIOEwEVDcReNWUCcrOEn4,"2425+QX Brahmanbaria, Bangladesh",7MPH2425+QX
1466,Subarnachar Upazila Health Complex,22.6515319,91.1097747,3.6,13,"['hospital', 'health', 'point_of_interest', 'establishment']","A571, Char Amanulla",ChIJdwPHJu6sVDcRTSg6jAFG3I4,"M425+JW Char Amanulla, Bangladesh",7MJHM425+JW
1467,Brahmanbaria Homeopathic Medical College And Hospital,23.9699475,91.1093824,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Kazi Para, Brahmanbaria",ChIJPwtT-pYFVDcRcy1bBrjM-kk,"X495+XQ Brahmanbaria, Bangladesh",7MMHX495+XQ
1468,Titas General Hospital,23.9744044,91.1090197,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Moulovi Para, Brahmanbaria",ChIJXwKknb0FVDcRySOaOQvEjC4,"X4F5+QJ Brahmanbaria, Bangladesh",7MMHX4F5+QJ
1469,Kazi Para Diabetic Hospital,23.969065,91.1085332,4.8,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Brahmanbaria Pourashava,ChIJb2W-GJcFVDcRkU8z2XyhJ5k,"X495+JC Brahmanbaria, Bangladesh",7MMHX495+JC
1470,Shamarita General Hospital,23.9740573,91.1084417,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Moulovi Para, Brahmanbaria",ChIJ76L6er0FVDcRj4lNjr3Pc2E,"X4F5+J9 Brahmanbaria, Bangladesh",7MMHX4F5+J9
1471,Charjabbar Health Complex,22.6566903,91.1081761,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Char Bata,ChIJXYaHxPCsVDcRDs0uTDUEnCI,"M445+M7 Char Bata, Bangladesh",7MJHM445+M7
1472,Global Diagnostic and Diabetes Center,22.9448526,91.1079934,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Feni - Noakhali Highway, Chowmuhani",ChIJDTxKlJqjVDcRSMY3LuBzt70,"W4V5+W5 Mir Warishpur, Bangladesh",7MJHW4V5+W5
1473,Jayadharkandi Community Medical Center,24.160282,91.107328,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sarail Upazila,ChIJ3VhFuKepVjcRCgQFYMBrBgQ,"5464+4W Noagaon, Bangladesh",7MPH5464+4W
1474,Joydhorkandi Community Medical Center,24.1603309,91.1073033,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Sarail Upazila,ChIJT2Bkd5upVjcRS8jrnpCvjOU,"5464+4W Noagaon, Bangladesh",7MPH5464+4W
1475,Chowmuhani General Hospital,22.9446408,91.1072015,3,8,"['hospital', 'health', 'point_of_interest', 'establishment']","Feni - Noakhali Highway, চৌমুহনী",ChIJJbRsELKjVDcRHgJSgcA-Ba4,"W4V4+VV Mir Warishpur, Bangladesh",7MJHW4V4+VV
1476,Mhadumoti Hospital (pvt) Limited,23.6124144,91.1068578,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Brahmanpara,ChIJr02uNuNwVDcRKBzMQn9HoUs,,
1477,Jononi diagnostic center,23.6148174,91.1068213,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Brahmanpara,ChIJdSPYy-JwVDcRc1jbeOADKLM,,
1478,Brahmanpara Diabetes and General Hospital,23.6119846,91.1068048,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Brahmanpara,ChIJpSEyu7hxVDcRt7NSDxO0nb8,,
1479,Vision hospital PLT,23.6116551,91.1067981,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","ব্রাক্ষণ পাড়া লাইন, এম এ গনি রোড",ChIJg8BnW21xVDcRjSn9BPoKJf4,,
1480,"Madhumati Hospital, Brahmanpara",23.6126764,91.1066986,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Burichang - Brahmanpara Road, Brahmanpara",ChIJf2Zz6wBxVDcR8DBIH9WgHdQ,,
1481,Subarnachar Upazila Health Complex,22.7056335,91.106677,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",not found,ChIJ2bjz3yWsVDcRIAdEtEVlxZI,not found,not found
1482,Monowara Hakim (Maternity)Hospital & Diagnostic Centre,23.9678337,91.1064296,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Paurashava,ChIJfcx7w6QFVDcRqeCR8P4cDQU,"X494+4H Brahmanbaria, Bangladesh",7MMHX494+4H
1483,Vision Hospital (Pvt) Ltd.,23.6109073,91.1062996,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Burichang - Brahmanpara Road, Brahmanpara",ChIJS3l8wrFxVDcR4ICRuEIu7Qw,,
1484,Monoara Hakim Hospital,23.9677407,91.1062958,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Comilla - Sylhet Highway, Brahmanbaria",ChIJvxXn_pkFVDcRbLZrhqcMdmg,"X494+3G Brahmanbaria, Bangladesh",7MMHX494+3G
1485,The Vision Hospital দি ভিশন হসপিটাল,23.6108645,91.106175,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Major A.Gony Road, Brahmanpara",ChIJI-ykn1BxVDcRJyV--0_ZjTQ,,
1487,Sonaimuri General Hospital,23.038656,91.1061189,4.5,24,"['hospital', 'health', 'point_of_interest', 'establishment']","Chatar Baria Road, Sonaimuri",ChIJ8fUxUfuYVDcR604qMTqUpQQ,,
1489,Jahanara Hospital (Pvt.),23.0383148,91.1059559,4.6,7,"['hospital', 'health', 'point_of_interest', 'establishment']","Chowrasta Taxi Stand, ফেনী-নোয়াখালী মহাসড়ক, Chowmuhani",ChIJg18CUPuYVDcRb2YjISJi4q0,,
1490,Banduain Hospital,23.1653772,91.1058748,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Punchpuquria - Banduyan Road, Banduyan",ChIJsVvPuSKbVDcRwEDyrJuSUbo,"5484+58 Banduyan, Bangladesh",7MMH5484+58
1491,Mainamati Union Health Complex,23.497741,91.1058409,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla - Sylhet Highway,ChIJfeNIpqJ7VDcRm-KS-vtF6hU,,
1493,Bipulshar Government Hospital,23.0772519,91.104641,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJSeBIrnGZVDcRprY6eROw46U,,
1494,"Upazila Health Complex, Ashtagram",24.2729479,91.1046068,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Austagram Health Complex, Astagram",ChIJg0AQ1BqvVjcRN_vsALmP9FE,"74F3+5R Astagram, Bangladesh",7MPH74F3+5R
1495,LABAID Diagnostic Noakhali,22.9387894,91.104518,4.3,3,"['pharmacy', 'hospital', 'doctor', 'health', 'point_of_interest', 'store', 'establishment']","House-0540-01-02-01, Alipur, Maijdee, Road, Chowrasta, চৌমুহনী",ChIJH8M1nwqjVDcRcUVANtxl7TM,"W4Q3+GR Begumganj, Bangladesh",7MJHW4Q3+GR
1496,Austagram Upazila Health Complex,24.2735096,91.1043751,4,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Austagram Rd, অষ্টগ্রাম",ChIJZTp-VfquVjcRza95g-N-82g,"74F3+CQ Astagram, Bangladesh",7MPH74F3+CQ
1497,Austagram General Hospital,24.2735398,91.1042915,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Nikli - Austagram Road, Astagram",ChIJA1BI4_quVjcRxDUHwsbmHj8,"74F3+CP Astagram, Bangladesh",7MPH74F3+CP
1498,Bapsha Clinic,22.9378719,91.1042748,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Road No 5, Begumganj",ChIJyz1igK-jVDcRTn7issssGv4,"W4Q3+4P Begumganj, Bangladesh",7MJHW4Q3+4P
1499,Modern Dental Care,22.94447,91.1041779,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Begumganj Jame Maszid Building, Chowmuhani",ChIJ_aHHqn6jVDcRZLBmVlSwb3s,"W4V3+QM Mir Warishpur, Bangladesh",7MJHW4V3+QM
1500,Mehrab Health Care and general Hospital,24.2774572,91.1037816,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Astagram,ChIJKyFfCCyvVjcRg1hpuW0m6rA,"74G3+XG Astagram, Bangladesh",7MPH74G3+XG
1502,Amena Medical,23.123618,91.1036005,2.2,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Manoharganj Upazila,ChIJZ-pCI7GbVDcRGhkAKYUN16Q,,
1503,Prime Hospital Limited Unit-2,22.9444103,91.1034551,4.6,5,"['hospital', 'health', 'point_of_interest', 'establishment']","Zilla Parishad Super Market, R140, Chowmuhani",ChIJ0yOAphSjVDcRmE2IGZXmKwg,"W4V3+Q9 Mir Warishpur, Bangladesh",7MJHW4V3+Q9
1504,Austagram Upazila Health Complex,24.2733317,91.1032314,not found,not found,"['hospital', 'premise', 'health', 'point_of_interest', 'establishment']",Astagram,ChIJU124CfuuVjcRw5i6Li3bvKw,not found,not found
1505,Malihata Community Clinic Hospital,24.0463367,91.1029318,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJGWXoTv4DVDcR8-WOcmUUyG4,"24W3+G5 Brahmanbaria, Bangladesh",7MPH24W3+G5
1507,Anwar Medical Centre (Pvt),22.9444459,91.1024275,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Begumgonj Setu, N104, Mir Warishpur",ChIJ-_OTGqyjVDcRu6D7Aln5XHU,,
1508,Anwar Medical Centre,22.9445244,91.1023396,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']","বেগমগঞ্জ উপজেলা, চৌমহনী চৌরাস্তা",ChIJf2UAEKyjVDcRi7MvsbNFF5g,"W4V2+RW Mir Warishpur, Bangladesh",7MJHW4V2+RW
1509,Mother Medical Hall,23.3942858,91.101936,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",বাতাইছরি,ChIJzSjxEvh9VDcRo8u50aSr82Q,,
1510,Sonaimuri Sub Upzilla Health Complex,23.0376082,91.1018367,4.4,7,"['hospital', 'health', 'point_of_interest', 'establishment']","Sonaimuri Bypass Road, Sonaimuri",ChIJ3R134PuYVDcRd49GoiGfqhs,"24Q2+2P Sonaimuri, Bangladesh",7MMH24Q2+2P
1512,North Fenua Friend Cottage Hospital,23.155034,91.1017556,4.3,6,"['hospital', 'health', 'point_of_interest', 'establishment']","Banduyan - Fenua - Munshirhat Road, Uttor Fenoua",ChIJY0HTfxubVDcRtYqlXsQtqLU,,
1513,Dr. Zaheer Hospital,22.8246384,91.1017334,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","নেয়ামত পুর, Noakhali",ChIJmcXl-1ulVDcRKB4j0MPla1s,"R4F2+VM Noakhali, Bangladesh",7MJHR4F2+VM
1514,Janani Diagnostic Center,22.8253708,91.1015222,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",M18,ChIJ8bWVyl-lVDcR-r3lDqYl9Mc,"R4G2+4J Noakhali, Bangladesh",7MJHR4G2+4J
1515,Sonaimuri Eye Hospital,23.0365975,91.1014282,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Sonaimuri Bypass Road, Sonaimuri",ChIJ842Je_mYVDcR-O3bZnDSSQI,"24P2+JH Sonaimuri, Bangladesh",7MMH24P2+JH
1516,Mother and Child Hospital,22.8615504,91.1005382,3.2,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Maijdee,ChIJ2z9nt1akVDcRpKNKMqdO9Cc,"V462+J6 Maijdee, Bangladesh",7MJHV462+J6
1517,Vision Eye Hospital,22.8312767,91.1004939,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Noakhali Sadar Upazila,ChIJo1xD3aGlVDcRfORsKelXpeQ,"R4J2+G5 Noakhali, Bangladesh",7MJHR4J2+G5
1518,Sonimuri Adhunik Sishu Hospital,23.0364407,91.1004286,4,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Sonaimuri Bypass Road, Sonaimuri",ChIJ0-luC_mYVDcREWeIQ1JgvV4,"24P2+H5 Sonaimuri, Bangladesh",7MMH24P2+H5
1519,Adhunik eye hospital,23.0355095,91.0993463,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Sonaimuri,ChIJwV8yrfmYVDcRQMZX3cAjMfU,"23PX+6P Sonaimuri, Bangladesh",7MMH23PX+6P
1520,Budhal Union Health Complex,24.0372746,91.0989845,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJd0l5WcoFVDcRDjDi2Zwyk6c,"23PX+WH Budhal, Bangladesh",7MPH23PX+WH
1521,Pataisher Community Clinic,23.7841992,91.0988025,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","unnamed road, Kheora",ChIJG3IgIlwNVDcRVrys3Pk8AJU,"Q3MX+MG Kheora, Bangladesh",7MMHQ3MX+MG
1522,Mirwarishpur Community Clinic,22.9621417,91.0984809,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Chowmuhani,ChIJ-WeF1uOjVDcRMtYTHr7CGIA,"X36X+V9 Mir Warishpur, Bangladesh",7MJHX36X+V9
1523,Surjer Hashi Clinic,24.5288917,91.0984759,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Itna,ChIJH95cxvfJVjcRK73rKEpSe3Q,"G3HX+H9 Itna, Bangladesh",7MPHG3HX+H9
1524,The Lab Aid Hospital (Pvt.),23.0351454,91.0982219,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Station Road, Sonaimuri",ChIJ791CK66ZVDcRVoTkOl0rN1o,"23PX+37 Sonaimuri, Bangladesh",7MMH23PX+37
